时间,流派,播放量,歌曲数,平均热度,平均播放量,播放量_万
2018-06,电子,143135725,6,0.208,7156786.25,14313.57
2018-06,说唱,3598714848,122,0.3001,8548016.266033255,359871.48
2018-07,摇滚,215409578,17,0.2303,5523322.512820513,21540.96
2018-07,民谣,35953227,4,0.1568,5136175.285714285,3595.32
2018-07,流行,3172501224,119,0.3088,8134618.523076923,317250.12
2018-07,电子,140566175,5,0.2284,7398219.736842105,14056.62
2018-07,说唱,3357913135,117,0.2832,9733081.550724637,335791.31
2018-08,摇滚,263104733,12,0.3305,5597973.042553191,26310.47
2018-08,民谣,4074102,1,0.1259,4074102.0,407.41
2018-08,流行,4043611004,160,0.3158,7851671.852427185,404361.1
2018-08,电子,280882713,9,0.2813,8511597.363636363,28088.27
2018-08,说唱,3446861195,113,0.3197,8531834.64108911,344686.12
2018-09,摇滚,223105752,12,0.3352,6374450.057142857,22310.58
2018-09,民谣,3925803,1,0.0292,3925803.0,392.58
2018-09,流行,2899541981,122,0.3329,7732111.949333333,289954.2
2018-09,电子,309039247,8,0.2909,9969007.967741935,30903.92
2018-09,说唱,3010699254,116,0.3115,8409774.452513967,301069.93
2018-10,摇滚,270777570,20,0.3278,6447085.0,27077.76
2018-10,流行,3064550683,121,0.3388,8064607.060526316,306455.07
2018-10,电子,267668526,9,0.2647,8634468.58064516,26766.85
2018-10,说唱,2925707774,133,0.312,8431434.50720461,292570.78
2018-11,摇滚,578369947,26,0.3734,7922875.98630137,57836.99
2018-11,流行,4218603776,150,0.3395,8144022.733590733,421860.38
2018-11,电子,247060713,9,0.2699,7720647.28125,24706.07
2018-11,说唱,3115980888,117,0.308,8265201.294429708,311598.09
2018-12,摇滚,659258832,23,0.3443,8345048.506329114,65925.88
2018-12,民谣,41117200,2,0.1133,8223440.0,4111.72
2018-12,流行,3881734938,144,0.332,9264283.861575179,388173.49
2018-12,电子,152122152,7,0.2613,7243912.0,15212.22
2018-12,说唱,2433863350,120,0.3312,8818345.471014492,243386.34
2019-01,摇滚,379302934,14,0.3986,7586058.68,37930.29
2019-01,流行,3301567100,121,0.3391,8072291.1980440095,330156.71
2019-01,电子,158299835,7,0.2514,7914991.75,15829.98
2019-01,说唱,2664913829,99,0.3427,8301912.239875389,266491.38
2019-02,摇滚,360130975,13,0.4034,7502728.645833333,36013.1
2019-02,流行,4151945043,137,0.346,9566693.647465438,415194.5
2019-02,电子,134595607,6,0.2673,7083979.315789473,13459.56
2019-02,说唱,2624311317,95,0.3393,8776960.926421404,262431.13
2019-03,摇滚,472468549,15,0.3962,7051769.388059702,47246.85
2019-03,民谣,43031941,4,0.2204,5378992.625,4303.19
2019-03,流行,4646037169,128,0.3403,9038982.819066148,464603.72
2019-03,电子,158543879,9,0.3317,5871995.518518519,15854.39
2019-03,说唱,3241853208,126,0.3196,8442326.0625,324185.32
2019-04,摇滚,292096470,13,0.4006,6792941.162790698,29209.65
2019-04,民谣,27698297,1,0.3427,6924574.25,2769.83
2019-04,流行,4198945204,158,0.3285,9148028.766884532,419894.52
2019-04,电子,161467203,8,0.3478,6727800.125,16146.72
2019-04,说唱,2352751017,87,0.3313,8713892.655555556,235275.1
2019-05,摇滚,347984344,14,0.3938,6214006.142857143,34798.43
2019-05,民谣,10032839,1,0.3286,5016419.5,1003.28
2019-05,流行,4906950994,149,0.3355,8669524.724381626,490695.1
2019-05,电子,200246167,7,0.3678,7416524.703703703,20024.62
2019-05,说唱,3037196220,113,0.3335,8702567.965616046,303719.62
2019-06,摇滚,268849510,12,0.3994,6557305.12195122,26884.95
2019-06,流行,4002733642,153,0.3345,8571164.115631692,400273.36
2019-06,电子,144460275,6,0.3498,6019178.125,14446.03
2019-06,说唱,2396898000,93,0.335,8943649.253731344,239689.8
2019-07,摇滚,263925344,13,0.3868,5998303.2727272725,26392.53
