rank,count,danceability,energy,key,mode,time_signature,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,221,0.7183122171945702,0.5919773755656108,4.927601809954751,0.5203619909502263,3.995475113122172,-6.617877828054298,0.11513529411764707,0.27336317647058817,0.0037775988235294114,0.1630085972850679,0.4828375565610859,117.14727601809956
2,221,0.7282171945701359,0.6185158371040724,5.660633484162896,0.502262443438914,4.02262443438914,-6.254787330316742,0.10700135746606336,0.19526013574660633,0.008795191583710409,0.178216742081448,0.5254696832579184,116.13278733031673
3,221,0.7088823529411765,0.6341221719457012,4.9457013574660635,0.6153846153846154,3.995475113122172,-5.912800904977375,0.10948597285067875,0.18216851583710408,0.004835491131221718,0.15828959276018098,0.5261692307692307,120.54828054298642
4,221,0.6991357466063349,0.6519049773755656,5.638009049773756,0.5158371040723982,4.004524886877828,-5.955452488687782,0.10826380090497736,0.2083963257918552,0.0023114316742081447,0.15729638009049776,0.5106040723981901,122.48815837104073
5,221,0.7250950226244345,0.6294524886877827,5.5656108597285066,0.5339366515837104,4.0,-5.95354298642534,0.1052217194570136,0.2226357647058823,0.007218951900452489,0.17579592760180998,0.5391710407239819,121.02730769230769
6,221,0.7050045248868779,0.6208416289592759,5.357466063348416,0.5610859728506787,3.990950226244344,-6.000683257918551,0.11160045248868779,0.2148158371040724,0.001346108552036199,0.17702262443438915,0.5164814479638009,116.88672850678734
7,221,0.7007013574660632,0.6181945701357465,5.235294117647059,0.5113122171945701,3.9728506787330318,-6.1917194570135745,0.1149977375565611,0.21334122171945702,0.0035364690497737554,0.16826968325791858,0.5023389140271494,123.35063800904979
8,221,0.7038597285067874,0.6286199095022625,5.398190045248869,0.579185520361991,3.990950226244344,-5.74008597285068,0.10342171945701358,0.2365392850678733,0.0033068217647058825,0.1508352941176471,0.5134714932126697,120.17030769230769
9,221,0.7086108597285067,0.6535656108597284,5.493212669683258,0.5384615384615384,3.990950226244344,-5.734610859728508,0.11838733031674209,0.19903244343891402,0.003950660859728507,0.15803981900452488,0.527120814479638,120.85430769230771
10,221,0.7172398190045248,0.6086696832579185,5.461538461538462,0.5475113122171946,3.9547511312217196,-6.247506787330317,0.10543800904977375,0.25466683257918554,0.016161331809954754,0.16473755656108596,0.48679502262443447,117.878185520362
11,221,0.7168597285067873,0.6270452488687783,5.036199095022624,0.5113122171945701,4.0,-6.030923076923076,0.11354796380090498,0.23752072398190047,0.020213051131221724,0.14754660633484162,0.48705113122171945,122.41142081447964
12,221,0.7053574660633483,0.6201357466063349,5.538461538461538,0.5565610859728507,3.9683257918552037,-6.059343891402714,0.11709321266968327,0.23718941176470593,0.013149491176470591,0.17450090497737558,0.4808914027149321,118.8667194570136
13,221,0.7026018099547511,0.638158371040724,5.343891402714932,0.6153846153846154,3.9638009049773757,-6.050212669683257,0.11069321266968327,0.230441221719457,0.01598092932126697,0.16307737556561086,0.5193714932126697,119.06184615384616
14,221,0.7044570135746606,0.6343891402714932,5.411764705882353,0.5475113122171946,3.9683257918552037,-5.959891402714932,0.11555429864253394,0.23887135746606336,0.004565593981900452,0.15918687782805427,0.5239235294117648,122.31755203619907
15,221,0.7252217194570135,0.615185520361991,5.104072398190045,0.6063348416289592,3.990950226244344,-6.030158371040724,0.11773303167420815,0.22610055203619908,0.008253265158371041,0.17099592760180993,0.5263018099547512,121.06840271493212
16,221,0.7074343891402716,0.6496380090497738,5.199095022624435,0.5248868778280543,3.986425339366516,-5.681819004524886,0.10686063348416289,0.21000773755656107,0.011335183936651585,0.17362805429864253,0.5178701357466063,122.43587782805432
17,221,0.7102533936651584,0.6296832579185522,4.972850678733032,0.6380090497737556,3.97737556561086,-5.908085972850678,0.11860452488687781,0.24756076923076925,0.006739613981900453,0.16045429864253397,0.522593665158371,120.75007239819003
18,221,0.7079773755656107,0.6270180995475114,5.0588235294117645,0.5610859728506787,3.9592760180995477,-5.868809954751131,0.10804298642533935,0.22489327601809955,0.003262901719457014,0.1640131221719457,0.4814248868778281,126.11509049773754
19,221,0.6994479638009051,0.6327782805429863,5.167420814479638,0.5565610859728507,3.9547511312217196,-6.151135746606334,0.10919095022624434,0.20539589140271494,0.006067476108597285,0.1702321266968326,0.4977837104072398,121.4058552036199
20,221,0.6905429864253392,0.6287782805429863,5.429864253393665,0.5339366515837104,3.9638009049773757,-6.23637556561086,0.1315049773755656,0.2323462624434389,0.002475791447963801,0.15270904977375566,0.46768868778280537,118.97656561085975
21,221,0.709366515837104,0.6350226244343891,5.5565610859728505,0.5565610859728507,3.9728506787330318,-6.186244343891402,0.11434434389140272,0.23605923076923074,0.008822936108597284,0.16257782805429863,0.5019131221719457,121.4806968325792
22,221,0.7046380090497737,0.6492669683257919,5.380090497737557,0.579185520361991,3.9638009049773757,-5.78427149321267,0.10772217194570136,0.2171965339366516,0.004074246244343892,0.164272850678733,0.5061289592760181,119.54078280542986
23,221,0.712683257918552,0.6417556561085973,5.755656108597285,0.5384615384615384,3.9683257918552037,-5.81814479638009,0.12196153846153847,0.21036651583710408,0.00789999588235294,0.17289366515837107,0.5134809954751132,120.12810859728506
24,221,0.7087601809954752,0.651977375565611,5.4434389140271495,0.5565610859728507,3.995475113122172,-5.690221719457014,0.11372217194570135,0.2112148416289593,0.0068275667420814486,0.15745882352941176,0.5004615384615385,118.08868325791856
