歌手,歌曲数,总播放量,平均热度,上榜次数,榜单
MAMAHUHU,1,0,,1,['巅峰榜·内地']
L（桃籽）/何文宇,2,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
L（桃籽）/任夏,1,0,,1,['巅峰榜·新歌']
L（桃籽）,7,0,,5,"['巅峰榜·流行指数', '巅峰榜·新歌']"
LÜCY/Jaguar Sun,1,0,,1,['巅峰榜·内地']
LÜCY,1,0,,1,['巅峰榜·内地']
Luxiem,1,0,,1,['巅峰榜·新歌']
Mars,1,0,,1,['巅峰榜·新歌']
Maroon 5/Wiz Khalifa,1,0,,1,['巅峰榜·流行指数']
Maroon 5/Megan Thee Stallion,1,0,,1,['巅峰榜·新歌']
Maroon 5,1,0,,1,['巅峰榜·新歌']
Mark Medlock,1,0,,1,['巅峰榜·流行指数']
Mariah Carey/Ariana Grande/Jennifer Hudson,1,0,,1,['巅峰榜·新歌']
Maple Jazz Band/邓千荧,1,0,,1,['巅峰榜·内地']
Maggie_麦吉,1,0,,1,['巅峰榜·新歌']
Maggie 麥,1,0,,1,['巅峰榜·内地']
Maga,1,0,,1,['巅峰榜·新歌']
Mae Stephens,1,0,,1,['巅峰榜·新歌']
Madnap/Pauline Herr,1,0,,1,['巅峰榜·流行指数']
MSG워너비 (M.O.M),1,0,,1,['巅峰榜·新歌']
MR.KING,1,0,,1,['巅峰榜·内地']
MK电音,1,0,,1,['巅峰榜·新歌']
MIKS,1,0,,1,['巅峰榜·内地']
Mr.16罗隽永,3,0,,3,"['巅峰榜·流行指数', '巅峰榜·内地']"
Mini Hu,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌', '巅峰榜·内地']"
Milk,1,0,,1,['巅峰榜·内地']
Michita (ミチタ),1,0,,2,"['巅峰榜·热歌', '巅峰榜·流行指数']"
Michael Calfan/INNA,1,0,,1,['巅峰榜·流行指数']
MiMi李紫婷/王者荣耀,1,0,,1,['巅峰榜·新歌']
Metro Boomin/Coi Leray,1,0,,1,['巅峰榜·新歌']
Meton米东,1,0,,1,['巅峰榜·内地']
Metablue赛博蓝/Heeze,1,0,,1,['巅峰榜·内地']
May梅梅,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
Mayk,1,0,,1,['巅峰榜·内地']
Max迎南,1,0,,1,['巅峰榜·内地']
Max Oazo/Moonessa,1,0,,1,['巅峰榜·流行指数']
Max Elto,1,0,,1,['巅峰榜·流行指数']
Masked Wolf/Егор Крид,1,0,,1,['巅峰榜·流行指数']
Martin Garrix/Clinton Kane/Alle Farben,1,0,,1,['巅峰榜·流行指数']
NOWZ (나우즈)/宋雨琦 (YUQI) (우기),2,0,,1,['巅峰榜·新歌']
NOM(SIMJIYONG)/两条腿Leggy,1,0,,1,['巅峰榜·内地']
NOM(SIMJIYONG),4,0,,4,"['巅峰榜·流行指数', '巅峰榜·新歌', '巅峰榜·内地']"
NMIXX (엔믹스),5,0,,4,"['巅峰榜·流行指数', '巅峰榜·新歌']"
NIKI,1,0,,1,['巅峰榜·内地']
NIA杨心予,1,0,,1,['巅峰榜·内地']
NCT WISH (엔시티 위시),1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
NCT DREAM (엔시티 드림),7,0,,3,"['巅峰榜·流行指数', '巅峰榜·新歌']"
NB69A,1,0,,1,['巅峰榜·新歌']
N.Flying (엔플라잉),1,0,,1,['巅峰榜·流行指数']
Muyoi/徐梦洁,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
Muyoi/Pezzi,1,0,,1,"['巅峰榜·热歌', '巅峰榜·流行指数']"
Muyoi,1,0,,1,['巅峰榜·内地']
Mr.亮,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
Mr.16罗隽永/Simyee陈芯怡/李俊毅JY,1,0,,1,['巅峰榜·内地']
Mr.16罗隽永/Simyee陈芯怡,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
Olly Murs,1,0,,1,['巅峰榜·流行指数']
Oliver Tree,1,0,,1,['巅峰榜·流行指数']
OTK-Silence,1,0,,1,['巅峰榜·内地']
ONEK/EmiER,1,0,,1,['巅峰榜·内地']
ODD陈思键/kwanchen关初恒,1,0,,1,['巅峰榜·内地']
ODD陈思键,2,0,,2,['巅峰榜·内地']
OAO,1,0,,1,['巅峰榜·内地']
Nocturnes曳取,1,0,,1,['巅峰榜·内地']
Nikol,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
NickTheWorld/Metablue赛博蓝,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
Nicholas Witt,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
NiNi李雪滟,3,0,,3,['巅峰榜·内地']
NewJeans (뉴진스),6,0,,3,"['巅峰榜·热歌', '巅峰榜·新歌']"
Naughty Boy/Sam Smith,2,0,,2,['巅峰榜·流行指数']
Nanne,1,0,,1,['巅峰榜·流行指数']
Nainf/说唱者联盟,1,0,,1,"['巅峰榜·新歌', '巅峰榜·内地']"
PostRadio后电台,2,0,,2,['巅峰榜·内地']
Piggy,1,0,,1,['巅峰榜·流行指数']
PiXXiE/Zom Marie,1,0,,1,['巅峰榜·流行指数']
Penny,1,0,,1,"['巅峰榜·热歌', '巅峰榜·流行指数']"
PeaceHotel和平饭店,2,0,,2,['巅峰榜·内地']
Pascal Letoublon/Leony,1,0,,1,['巅峰榜·流行指数']
PURPLE KISS (퍼플키스),1,0,,1,['巅峰榜·新歌']
PSY.P/KnowKnow/Ty.,1,0,,1,['巅峰榜·流行指数']
PSY.P,1,0,,1,['巅峰榜·流行指数']
PPR,1,0,,1,['巅峰榜·新歌']
PHONO/Levinti/Pota/陈婕,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
PANTHEPACK,2,0,,1,['巅峰榜·新歌']
Oscar 涂毓麟/孙乐言,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
Or1ando/说唱者联盟,1,0,,1,['巅峰榜·内地']
Or1ando,1,0,,1,['巅峰榜·内地']
Oops！/儿几,1,0,,1,['巅峰榜·新歌']
ROSÉ (로제),2,0,,1,['巅峰榜·新歌']
RIIZE (라이즈),2,0,,2,['巅峰榜·新歌']
RGR Y于新垚,2,0,,2,['巅峰榜·内地']
RADWIMPS (ラッドウィンプス)/十明,1,0,,1,"['巅峰榜·热歌', '巅峰榜·流行指数']"
RADWIMPS (ラッドウィンプス),2,0,,1,['巅峰榜·流行指数']
R3HAB/蔡依林,1,0,,1,['巅峰榜·新歌']
R3HAB/Kelvin Jones,1,0,,1,['巅峰榜·新歌']
R3HAB/Jonas Blue/Ava Max/Kylie Cantrall,1,0,,1,['巅峰榜·新歌']
R1SE,2,0,,1,['巅峰榜·新歌']
R.E.D,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
R. City,1,0,,1,['巅峰榜·流行指数']
Quinn葵因,2,0,,2,['巅峰榜·内地']
ProdbyMend/李羽彤,1,0,,1,['巅峰榜·流行指数']
ProdbyMend/小野来了,2,0,,1,['巅峰榜·新歌']
ProdbyMend,2,0,,2,['巅峰榜·新歌']
Power Milk,1,0,,1,['巅峰榜·内地']
SASSINRISE,1,0,,1,['巅峰榜·内地']
SARRA梁馨予,2,0,,2,['巅峰榜·内地']
S.H.E,2,0,,2,"['巅峰榜·热歌', '巅峰榜·流行指数']"
Roxy马瑞欣,4,0,,3,"['巅峰榜·流行指数', '巅峰榜·新歌', '巅峰榜·内地']"
Rosy赵露思,1,0,,1,['巅峰榜·新歌']
Robot Swing/陈以恒,1,0,,1,['巅峰榜·内地']
Rival/Cadmium/Harley Bird,1,0,,1,['巅峰榜·流行指数']
Rico Zayd,1,0,,1,['巅峰榜·内地']
Reynard Silva,1,0,,1,['巅峰榜·流行指数']
Red Velvet (레드벨벳)/aespa (에스파),1,0,,1,['巅峰榜·新歌']
Red Velvet (레드벨벳),1,0,,1,['巅峰榜·新歌']
Raven & Kreyn/Nino Lucarelli/RudeLies,1,0,,1,['巅峰榜·流行指数']
RandyBird兰迪鸟/Melva美娃,1,0,,1,['巅峰榜·内地']
Rain (郑智薰)/王嘉尔,1,0,,1,['巅峰榜·新歌']
Rabbitdog/张桐桐/李西泽,1,0,,1,['巅峰榜·内地']
ROSÉ (로제)/Bruno Mars,1,0,,2,"['巅峰榜·热歌', '巅峰榜·流行指数']"
SiM (シム),1,0,,1,['巅峰榜·新歌']
Shu,1,0,,1,['巅峰榜·内地']
Shawn Mendes,1,0,,1,['巅峰榜·新歌']
Shang,1,0,,1,['巅峰榜·流行指数']
Schoolgirl byebye/Haysen郑景曦,1,0,,1,['巅峰榜·内地']
Schoolgirl byebye,1,0,,1,['巅峰榜·内地']
Sasha Alex Sloan,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
Sabrina Carpenter,1,0,,1,['巅峰榜·热歌']
SUNK,1,0,,1,['巅峰榜·内地']
STonE,1,0,,1,['巅峰榜·内地']
STOLEN秘密行动,1,0,,1,['巅峰榜·内地']
STAYC (스테이씨),1,0,,1,['巅峰榜·新歌']
SMTOWN,1,0,,1,['巅峰榜·新歌']
SING女团,1,0,,1,['巅峰榜·新歌']
SING-宗思雨,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
SIENA,1,0,,1,['巅峰榜·内地']
Subai/JVLA/7evens/Max,1,0,,1,['巅峰榜·流行指数']
Stray Kids (스트레이 키즈)/필릭스 (Felix),1,0,,1,['巅峰榜·新歌']
Stray Kids (스트레이 키즈),2,0,,2,['巅峰榜·新歌']
Starry Sky,1,0,,1,['巅峰榜·内地']
Stake/TwoP,1,0,,1,['巅峰榜·流行指数']
Spylent/直火帮StraightFireGang,1,0,,1,['巅峰榜·内地']
SomeLove,1,0,,1,['巅峰榜·新歌']
Social_Melon/K39NN,1,0,,1,['巅峰榜·内地']
So Far So Good 恰好乐队,2,0,,2,['巅峰榜·内地']
Slowly,2,0,,2,['巅峰榜·内地']
Slow-mo/王美琪MKChiChi/说唱者联盟,1,0,,1,['巅峰榜·内地']
Slow-mo/佐符子,1,0,,1,['巅峰榜·内地']
Slow-mo,1,0,,1,['巅峰榜·内地']
Skeynisher  晴,1,0,,1,['巅峰榜·内地']
Simyee陈芯怡,2,0,,2,['巅峰榜·内地']
Sienna Voss,1,0,,1,['巅峰榜·新歌']
TF家族/张峻豪SHUN,2,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
TF家族/余宇涵,1,0,,1,['巅峰榜·流行指数']
TF家族/TOP登陆少年-朱志鑫/TOP登陆少年-张泽禹/TOP登陆少年-张极,2,0,,2,"['巅峰榜·流行指数', '巅峰榜·新歌']"
TF家族/TOP登陆少年-张泽禹,1,0,,1,['巅峰榜·新歌']
TF家族,2,0,,2,"['巅峰榜·流行指数', '巅峰榜·新歌']"
TE27,3,0,,3,['巅峰榜·内地']
TD,1,0,,1,['巅峰榜·内地']
TC乔安娜,1,0,,1,['巅峰榜·内地']
TASTA塔林夫,1,0,,1,['巅峰榜·内地']
TAEYANG (太阳),1,0,,1,"['巅峰榜·热歌', '巅峰榜·流行指数']"
T.R.Y,1,0,,1,['巅峰榜·流行指数']
SupreCh/冷志轩,1,0,,1,['巅峰榜·内地']
Supper Moment,2,0,,2,['巅峰榜·内地']
Super Max,1,0,,1,['巅峰榜·新歌']
Sunny (써니)/廷祐 (정우)/仁俊,1,0,,1,['巅峰榜·新歌']
Summer Walker/SZA/Cardi B,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
Taylor Swift/Bon Iver,1,0,,1,['巅峰榜·流行指数']
Taylor Swift,17,0,,12,"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']"
Tate McRae,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
Tank,4,0,,5,"['巅峰榜·热歌', '巅峰榜·内地']"
Tamboss,4,0,,3,"['巅峰榜·流行指数', '巅峰榜·新歌']"
TYSM,1,0,,1,['巅峰榜·流行指数']
TWS (투어스),1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
TWICE (트와이스),4,0,,3,"['巅峰榜·流行指数', '巅峰榜·新歌']"
TSP安琪,1,0,,1,['巅峰榜·新歌']
TRI.BE (트라이비),1,0,,1,['巅峰榜·流行指数']
TREASURE (트레저),1,0,,1,['巅峰榜·流行指数']
TRASH/陈绮贞,1,0,,1,['巅峰榜·内地']
TINY7,1,0,,2,['巅峰榜·热歌']
THOME/KIV,1,0,,1,['巅峰榜·新歌']
THE9,1,0,,1,['巅峰榜·新歌']
THE EITHER,1,0,,1,['巅峰榜·内地']
Tizzy Bac,1,0,,1,['巅峰榜·新歌']
Tinashe,1,0,,1,['巅峰榜·流行指数']
Tiam/永猩Nssus/说唱者联盟,1,0,,1,['巅峰榜·内地']
Tiam/吴鉴格,1,0,,1,['巅峰榜·内地']
Tiam,1,0,,1,['巅峰榜·内地']
TiZi_阿合,1,0,,1,['巅峰榜·内地']
Theseus 忒修斯,1,0,,1,['巅峰榜·内地']
TheFatRat/Anjulie,1,0,,1,['巅峰榜·新歌']
The Weeknd/JENNIE (제니)/Lily-Rose Depp,1,0,,1,['巅峰榜·新歌']
The Shanghai Restoration Project,1,0,,1,['巅峰榜·内地']
The Leg Signals 脚信号,1,0,,1,['巅峰榜·内地']
The Kid LAROI/Justin Bieber,1,0,,2,['巅峰榜·流行指数']
The Chainsmokers,1,0,,1,['巅峰榜·新歌']
TetraCalyx,1,0,,1,['巅峰榜·内地']
Tess Hale,1,0,,1,['巅峰榜·新歌']
Taylor Swift/HAIM,1,0,,1,['巅峰榜·新歌']
Tăng Duy Tân/BAE,1,0,,1,['巅峰榜·流行指数']
Tyson Yoshi,1,0,,1,['巅峰榜·内地']
TypeD,2,0,,2,['巅峰榜·流行指数']
Ty./艾维斯Evis/谢帝,1,0,,1,['巅峰榜·内地']
TwoP/Stake/椅子不够酷/Victor,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
Twinbed,1,0,,1,['巅峰榜·流行指数']
Tuesday Market,3,0,,3,['巅峰榜·内地']
Tsuki,1,0,,1,['巅峰榜·流行指数']
Troye Sivan/Kacey Musgraves/Mark Ronson,1,0,,1,['巅峰榜·新歌']
Troye Sivan,1,0,,1,['巅峰榜·新歌']
Trouble Maker (트러블메이커),1,0,,1,['巅峰榜·流行指数']
Trinix Remix,1,0,,1,['巅峰榜·流行指数']
TrAnc,1,0,,1,['巅峰榜·内地']
Tphunk,1,0,,1,['巅峰榜·内地']
Torine,1,0,,1,['巅峰榜·流行指数']
TizzyT,3,0,,2,"['巅峰榜·流行指数', '巅峰榜·新歌', '巅峰榜·内地']"
Vic,1,0,,1,['巅峰榜·内地']
Venn,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
Veegee徐若侨,1,0,,1,['巅峰榜·内地']
Various Artists,1,0,,1,['巅峰榜·流行指数']
Vaniah维,1,0,,1,['巅峰榜·内地']
VaVa娃娃/王嘉尔,1,0,,1,['巅峰榜·新歌']
VaVa娃娃/Rosy赵露思,1,0,,1,['巅峰榜·新歌']
VZEUS/Jamvana,1,0,,1,['巅峰榜·新歌']
VZEUS,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
VKNOW感觉团,1,0,,1,['巅峰榜·内地']
VIZE/Alan Walker/Leony/Edward Artemyev,1,0,,1,['巅峰榜·新歌']
VEGEE CAU,1,0,,1,['巅峰榜·内地']
V.I.A,1,0,,1,['巅峰榜·内地']
Uu (刘梦妤),1,0,,1,['巅峰榜·流行指数']
Uncle PATA 红宇,1,0,,1,['巅峰榜·新歌']
UNiP,1,0,,1,['巅峰榜·内地']
X-Yarkin/Focoliu/周凯迪kAi,1,0,,1,['巅峰榜·内地']
X-Yarkin,1,0,,1,['巅峰榜·内地']
WishU威绪,1,0,,1,['巅峰榜·内地']
Wild Culture/Shel Bee,1,0,,1,['巅峰榜·流行指数']
WiFi歪歪,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
Walk off the Earth/D Smoke,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
WINGS三人组,1,0,,1,['巅峰榜·流行指数']
WILLIM缪维霖/Lambert凌杰,1,0,,1,['巅峰榜·新歌']
W8VES/沙一汀EL,1,0,,1,['巅峰榜·新歌']
W phonker,1,0,,1,['巅峰榜·新歌']
Vodax,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
VodKe,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
Vitas,1,0,,1,['巅峰榜·流行指数']
Vicky宣宣,1,0,,1,['巅峰榜·内地']
Vicetone/Meron Ryan,1,0,,1,['巅峰榜·流行指数']
Vicetone/Kat Nestel,1,0,,1,['巅峰榜·流行指数']
Yccccccccccccccc,1,0,,1,['巅峰榜·内地']
YYY,1,0,,1,['巅峰榜·新歌']
YOASOBI (ヨアソビ),1,0,,1,['巅峰榜·流行指数']
YERI (예리)/楷灿 (해찬)/辰乐 (천러)/志晟 (지성),1,0,,1,['巅峰榜·新歌']
YEONJUN,1,0,,1,['巅峰榜·新歌']
YENA (崔叡娜)/宋雨琦 (YUQI) (우기),1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
Y-D/一口神探,1,0,,1,['巅峰榜·新歌']
XloveSF,1,0,,1,['巅峰榜·新歌']
XiRXG,1,0,,1,['巅峰榜·流行指数']
XXXTentacion,1,0,,1,['巅峰榜·流行指数']
XXSC/周粥Aone,1,0,,1,['巅峰榜·内地']
XXSC/DM蒙多,1,0,,1,['巅峰榜·内地']
XSWLO,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
XG,4,0,,4,"['巅峰榜·流行指数', '巅峰榜·新歌']"
X-Yarkin/袁子安YZA,1,0,,1,['巅峰榜·内地']
X-Yarkin/周凯迪kAi/Focoliu,1,0,,1,['巅峰榜·内地']
Zealot周星星,2,0,,2,"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']"
Zakiya晴子,1,0,,1,['巅峰榜·内地']
ZaZaZsu咂咂苏,1,0,,1,['巅峰榜·流行指数']
ZWM.,1,0,,1,['巅峰榜·内地']
ZQS,1,0,,1,['巅峰榜·流行指数']
ZICO (지코)/Homies (호미들),1,0,,1,['巅峰榜·新歌']
ZHANGYE/Pia Toscano,1,0,,1,['巅峰榜·内地']
Z0ILENT,1,0,,1,['巅峰榜·新歌']
Z.Yeshu,1,0,,1,['巅峰榜·内地']
Yves V/INNA/Janieck,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
Yunnyyyy/LebronDuo多杰,1,0,,1,['巅峰榜·内地']
Yunnyyyy,1,0,,1,['巅峰榜·内地']
Youngior,6,0,,6,['巅峰榜·内地']
YoungSeven.孙一航,1,0,,1,['巅峰榜·内地']
Yg/Zeroy,1,0,,1,['巅峰榜·新歌']
Yg,2,0,,2,"['巅峰榜·流行指数', '巅峰榜·新歌']"
en (王翊恩),33,0,,13,"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']"
coco-木子文,3,0,,3,['巅峰榜·内地']
cici_,10,0,,6,"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']"
cash-c/说唱者联盟,1,0,,1,['巅峰榜·内地']
cash-c,3,0,,3,['巅峰榜·内地']
capyzh,1,0,,1,['巅峰榜·内地']
buckit 陈思潼,1,0,,1,['巅峰榜·内地']
aespa (에스파),8,0,,6,"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']"
Zyboy忠宇,4,0,,7,"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']"
ZsFlovexl,2,0,,1,['巅峰榜·新歌']
Zkaaai/散人TR,1,0,,1,['巅峰榜·新歌']
Zkaaai/Uncle PATA 红宇,1,0,,1,['巅峰榜·新歌']
Zkaaai,4,0,,4,"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']"
ZesT小天,1,0,,1,['巅峰榜·新歌']
Zeho傅子豪/Jiaber吴伯滔,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
Zeen,1,0,,1,['巅峰榜·内地']
melonboii,1,0,,1,['巅峰榜·内地']
mac ova seas/付思遥/Pablo,1,0,,1,['巅峰榜·内地']
leegof,3,0,,3,['巅峰榜·内地']
lIlBOI (릴보이)/Loco (로꼬)/朴宰范 (Jay Park)/GRAY (그레이),1,0,,1,['巅峰榜·新歌']
keshi,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
kashbin,1,0,,1,['巅峰榜·新歌']
joel庞燕珊,2,0,,2,['巅峰榜·内地']
iKON (아이콘),1,0,,1,['巅峰榜·流行指数']
i-dle (아이들),1,0,,1,['巅峰榜·新歌']
hush！,1,0,,1,['巅峰榜·流行指数']
hanser,1,0,,1,['巅峰榜·新歌']
h3R33,1,0,,1,['巅峰榜·新歌']
h3R3/丁肆Dicey,1,0,,1,['巅峰榜·内地']
h3R3,2,0,,1,"['巅峰榜·新歌', '巅峰榜·内地']"
fromis_9 (프로미스나인),1,0,,1,['巅峰榜·新歌']
etihasa/Speed Up Songs,1,0,,1,['巅峰榜·流行指数']
zyy,2,0,,2,"['巅峰榜·流行指数', '巅峰榜·新歌']"
yihuik苡慧,3,0,,4,"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']"
ycccc/张家旺,1,0,,1,['巅峰榜·新歌']
ycccc,6,0,,8,"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']"
xxxmiracle/knowme,1,0,,1,['巅峰榜·内地']
wweimm微米,2,0,,2,['巅峰榜·内地']
wlikec,1,0,,1,['巅峰榜·流行指数']
vine,1,0,,1,['巅峰榜·新歌']
tom wet/李铭宇,1,0,,1,['巅峰榜·内地']
the PopLan,1,0,,1,['巅峰榜·内地']
step.jad依加,2,0,,2,"['巅峰榜·新歌', '巅峰榜·内地']"
ss沧川,1,0,,1,['巅峰榜·新歌']
ss.沧川,1,0,,1,['巅峰榜·新歌']
pro/馒头妞,1,0,,1,['巅峰榜·新歌']
pro,3,0,,3,"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']"
per se,2,0,,2,['巅峰榜·内地']
丁当,1,0,,3,"['巅峰榜·热歌', '巅峰榜·流行指数']"
丁千城,1,0,,1,['巅峰榜·内地']
丁乙,1,0,,1,['巅峰榜·新歌']
丁世光,1,0,,2,"['巅峰榜·流行指数', '巅峰榜·新歌', '巅峰榜·内地']"
一颗狼星/国风集,1,0,,1,['巅峰榜·新歌']
一泽万Easyone,1,0,,1,['巅峰榜·内地']
一棵小葱/张曦匀,1,0,,2,"['巅峰榜·热歌', '巅峰榜·流行指数']"
一棵小葱/傅红雨,1,0,,1,['巅峰榜·内地']
一杯陈豆浆,2,0,,1,"['巅峰榜·热歌', '巅峰榜·流行指数']"
一条椅子,1,0,,1,['巅峰榜·内地']
一支榴莲,1,0,,1,['巅峰榜·内地']
一只白羊,3,0,,4,"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']"
一口甜,1,0,,1,['巅峰榜·新歌']
一个小孩,2,0,,1,['巅峰榜·流行指数']
イルカポリス 海豚刑警,1,0,,1,['巅峰榜·内地']
Канги,1,0,,1,['巅峰榜·流行指数']
三叔说,1,0,,1,['巅峰榜·新歌']
万物和声/瞿子千,1,0,,1,['巅峰榜·新歌']
万海东,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
万妮达Vinida Weng/宝石Gem,1,0,,1,['巅峰榜·新歌']
万妮达Vinida Weng/Min-G,1,0,,1,['巅峰榜·内地']
万妮达Vinida Weng,2,0,,2,"['巅峰榜·新歌', '巅峰榜·内地']"
七音盒,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
七喜,1,0,,1,['巅峰榜·流行指数']
七哼Qhyung,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
七叔（叶泽浩）,6,0,,4,['巅峰榜·流行指数']
七元,7,0,,5,"['巅峰榜·流行指数', '巅峰榜·新歌']"
丁肆Dicey,1,0,,1,"['巅峰榜·热歌', '巅峰榜·流行指数']"
丁程鑫/刘耀文/严浩翔/贺峻霖,2,0,,2,['巅峰榜·新歌']
丁禹兮,2,0,,1,"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']"
丁欣睿Echo,1,0,,1,['巅峰榜·内地']
丁星辰,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
两个大叔/小钢炮,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
丢火车乐队,2,0,,2,['巅峰榜·内地']
东方红合唱队,1,0,,1,['巅峰榜·流行指数']
与非门,2,0,,2,['巅峰榜·内地']
不蓝,1,0,,1,['巅峰榜·新歌']
不知名人物,1,0,,1,['巅峰榜·新歌']
不爱吃鱼,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
不是花火呀/小田音乐社,1,0,,1,['巅峰榜·流行指数']
不是花火呀,2,0,,2,"['巅峰榜·流行指数', '巅峰榜·新歌']"
不是徐果冻,1,0,,1,['巅峰榜·新歌']
不敢想象/说唱者联盟,2,0,,2,"['巅峰榜·新歌', '巅峰榜·内地']"
不够,1,0,,1,['巅峰榜·流行指数']
不只中二,1,0,,1,['巅峰榜·新歌']
上海彩虹室内合唱团,2,0,,2,['巅峰榜·内地']
三赫兹乐队,2,0,,2,['巅峰榜·内地']
三角猫（mYrtl3V）/麻辣桔,2,0,,2,['巅峰榜·内地']
九日NineNine/陈灵翔Xz,1,0,,1,['巅峰榜·内地']
九日NineNine/KE,1,0,,1,['巅峰榜·内地']
九日NineNine,1,0,,1,['巅峰榜·内地']
九仝jotto,1,0,,1,['巅峰榜·内地']
乔芮,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
乔浚丞,1,0,,1,['巅峰榜·内地']
乔佳旭,2,0,,2,"['巅峰榜·流行指数', '巅峰榜·新歌']"
乌野学长,2,0,,1,['巅峰榜·新歌']
之之是林之之,1,0,,1,['巅峰榜·新歌']
久石让/吴青峰/李乐祺（Lucky）,1,0,,1,['巅峰榜·新歌']
乃万NINEONE/白小白/陈墨一（吖毛）,1,0,,1,['巅峰榜·流行指数']
乃万NINEONE/99 God,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
乃万NINEONE,3,0,,3,"['巅峰榜·流行指数', '巅峰榜·新歌']"
丫蛋,1,0,,1,['巅峰榜·新歌']
严浩翔,2,0,,2,"['巅峰榜·流行指数', '巅峰榜·新歌']"
两条腿Leggy/Hailie黑梨,1,0,,1,['巅峰榜·内地']
于梓贝,1,0,,1,['巅峰榜·内地']
于晚晚,1,0,,1,['巅峰榜·新歌']
于文文,3,0,,14,"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']"
于恩众,1,0,,1,['巅峰榜·新歌']
于和伟,1,0,,1,['巅峰榜·热歌']
于博雅,2,0,,2,"['巅峰榜·流行指数', '巅峰榜·内地']"
于冬然,10,0,,8,"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']"
于佰万,1,0,,1,['巅峰榜·新歌']
二龙湖浩哥,1,0,,1,['巅峰榜·新歌']
二少君,2,0,,2,"['巅峰榜·流行指数', '巅峰榜·新歌']"
予锦言/阿楚,1,0,,1,['巅峰榜·内地']
予锦言/Aio温温/鸶夏,1,0,,1,['巅峰榜·内地']
买辣椒也用券,2,0,,4,"['巅峰榜·热歌', '巅峰榜·新歌']"
也可,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
九酱,1,0,,1,['巅峰榜·新歌']
九连真人,1,0,,1,['巅峰榜·内地']
