歌手,歌曲数,总播放量,平均热度,上榜次数,榜单
MAREA,2,0,,2,"['巅峰榜·流行指数', '巅峰榜·新歌', '巅峰榜·内地']"
MAMAMOO (마마무),1,0,,1,['巅峰榜·新歌']
MAMAHUHU,1,0,,1,['巅峰榜·内地']
L（桃籽）/何文宇,2,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
L（桃籽）/任夏,1,0,,1,['巅峰榜·新歌']
L（桃籽）,7,0,,5,"['巅峰榜·流行指数', '巅峰榜·新歌']"
LÜCY/Jaguar Sun,1,0,,1,['巅峰榜·内地']
LÜCY,1,0,,1,['巅峰榜·内地']
Luxiem,1,0,,1,['巅峰榜·新歌']
Mars,1,0,,1,['巅峰榜·新歌']
Maroon 5/Wiz Khalifa,1,0,,1,['巅峰榜·流行指数']
Maroon 5/Megan Thee Stallion,1,0,,1,['巅峰榜·新歌']
Maroon 5,1,0,,1,['巅峰榜·新歌']
Mark Medlock,1,0,,1,['巅峰榜·流行指数']
Mariah Carey/Ariana Grande/Jennifer Hudson,1,0,,1,['巅峰榜·新歌']
Maple Jazz Band/邓千荧,1,0,,1,['巅峰榜·内地']
Maggie_麦吉,1,0,,1,['巅峰榜·新歌']
Maggie 麥,1,0,,1,['巅峰榜·内地']
Maga,1,0,,1,['巅峰榜·新歌']
Mae Stephens,1,0,,1,['巅峰榜·新歌']
Madnap/Pauline Herr,1,0,,1,['巅峰榜·流行指数']
MSG워너비 (M.O.M),1,0,,1,['巅峰榜·新歌']
MR.KING,1,0,,1,['巅峰榜·内地']
MK电音,1,0,,1,['巅峰榜·新歌']
MIKS,1,0,,1,['巅峰榜·内地']
Mr.16罗隽永,3,0,,3,"['巅峰榜·流行指数', '巅峰榜·内地']"
Mini Hu,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌', '巅峰榜·内地']"
Milk,1,0,,1,['巅峰榜·内地']
Michita (ミチタ),1,0,,2,"['巅峰榜·热歌', '巅峰榜·流行指数']"
Michael Calfan/INNA,1,0,,1,['巅峰榜·流行指数']
MiMi李紫婷/王者荣耀,1,0,,1,['巅峰榜·新歌']
Metro Boomin/Coi Leray,1,0,,1,['巅峰榜·新歌']
Meton米东,1,0,,1,['巅峰榜·内地']
Metablue赛博蓝/Heeze,1,0,,1,['巅峰榜·内地']
May梅梅,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
Mayk,1,0,,1,['巅峰榜·内地']
Max迎南,1,0,,1,['巅峰榜·内地']
Max Oazo/Moonessa,1,0,,1,['巅峰榜·流行指数']
Max Elto,1,0,,1,['巅峰榜·流行指数']
Masked Wolf/Егор Крид,1,0,,1,['巅峰榜·流行指数']
Martin Garrix/Clinton Kane/Alle Farben,1,0,,1,['巅峰榜·流行指数']
NOWZ (나우즈)/宋雨琦 (YUQI) (우기),2,0,,1,['巅峰榜·新歌']
NOM(SIMJIYONG)/两条腿Leggy,1,0,,1,['巅峰榜·内地']
NOM(SIMJIYONG),4,0,,4,"['巅峰榜·流行指数', '巅峰榜·新歌', '巅峰榜·内地']"
NMIXX (엔믹스),5,0,,4,"['巅峰榜·流行指数', '巅峰榜·新歌']"
NIKI,1,0,,1,['巅峰榜·内地']
NIA杨心予,1,0,,1,['巅峰榜·内地']
NCT WISH (엔시티 위시),1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
NCT DREAM (엔시티 드림),7,0,,3,"['巅峰榜·流行指数', '巅峰榜·新歌']"
NB69A,1,0,,1,['巅峰榜·新歌']
N.Flying (엔플라잉),1,0,,1,['巅峰榜·流行指数']
Muyoi/徐梦洁,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
Muyoi/Pezzi,1,0,,1,"['巅峰榜·热歌', '巅峰榜·流行指数']"
Muyoi,1,0,,1,['巅峰榜·内地']
Mr.亮,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
Mr.16罗隽永/Simyee陈芯怡/李俊毅JY,1,0,,1,['巅峰榜·内地']
Mr.16罗隽永/Simyee陈芯怡,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
Olly Murs,1,0,,1,['巅峰榜·流行指数']
Oliver Tree,1,0,,1,['巅峰榜·流行指数']
OTK-Silence,1,0,,1,['巅峰榜·内地']
ONEK/EmiER,1,0,,1,['巅峰榜·内地']
ODD陈思键/kwanchen关初恒,1,0,,1,['巅峰榜·内地']
ODD陈思键,2,0,,2,['巅峰榜·内地']
OAO,1,0,,1,['巅峰榜·内地']
Nocturnes曳取,1,0,,1,['巅峰榜·内地']
Nikol,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
NickTheWorld/Metablue赛博蓝,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
Nicholas Witt,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
NiNi李雪滟,3,0,,3,['巅峰榜·内地']
NewJeans (뉴진스),6,0,,3,"['巅峰榜·热歌', '巅峰榜·新歌']"
Naughty Boy/Sam Smith,2,0,,2,['巅峰榜·流行指数']
Nanne,1,0,,1,['巅峰榜·流行指数']
Nainf/说唱者联盟,1,0,,1,"['巅峰榜·新歌', '巅峰榜·内地']"
PostRadio后电台,2,0,,2,['巅峰榜·内地']
Piggy,1,0,,1,['巅峰榜·流行指数']
PiXXiE/Zom Marie,1,0,,1,['巅峰榜·流行指数']
Penny,1,0,,1,"['巅峰榜·热歌', '巅峰榜·流行指数']"
PeaceHotel和平饭店,2,0,,2,['巅峰榜·内地']
Pascal Letoublon/Leony,1,0,,1,['巅峰榜·流行指数']
PURPLE KISS (퍼플키스),1,0,,1,['巅峰榜·新歌']
PSY.P/KnowKnow/Ty.,1,0,,1,['巅峰榜·流行指数']
PSY.P,1,0,,1,['巅峰榜·流行指数']
PPR,1,0,,1,['巅峰榜·新歌']
PHONO/Levinti/Pota/陈婕,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
PANTHEPACK,2,0,,1,['巅峰榜·新歌']
Oscar 涂毓麟/孙乐言,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
Or1ando/说唱者联盟,1,0,,1,['巅峰榜·内地']
Or1ando,1,0,,1,['巅峰榜·内地']
Oops！/儿几,1,0,,1,['巅峰榜·新歌']
ROSÉ (로제),2,0,,1,['巅峰榜·新歌']
RIIZE (라이즈),2,0,,2,['巅峰榜·新歌']
RGR Y于新垚,2,0,,2,['巅峰榜·内地']
RADWIMPS (ラッドウィンプス)/十明,1,0,,1,"['巅峰榜·热歌', '巅峰榜·流行指数']"
RADWIMPS (ラッドウィンプス),2,0,,1,['巅峰榜·流行指数']
R3HAB/蔡依林,1,0,,1,['巅峰榜·新歌']
R3HAB/Kelvin Jones,1,0,,1,['巅峰榜·新歌']
R3HAB/Jonas Blue/Ava Max/Kylie Cantrall,1,0,,1,['巅峰榜·新歌']
R1SE,2,0,,1,['巅峰榜·新歌']
R.E.D,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
R. City,1,0,,1,['巅峰榜·流行指数']
Quinn葵因,2,0,,2,['巅峰榜·内地']
ProdbyMend/李羽彤,1,0,,1,['巅峰榜·流行指数']
ProdbyMend/小野来了,2,0,,1,['巅峰榜·新歌']
ProdbyMend,2,0,,2,['巅峰榜·新歌']
