歌手,歌曲数,总播放量,平均热度,上榜次数,榜单
Balan,1,0,,1,['巅峰榜·内地']
BZ1,3,0,,3,"['巅峰榜·流行指数', '巅峰榜·新歌', '巅峰榜·内地']"
BY2,2,0,,8,"['巅峰榜·热歌', '巅峰榜·流行指数']"
BLAST/恒川/南思鸭,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
BLACKPINK (블랙핑크),9,0,,3,"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']"
BILLKIN/PP KRIT,1,0,,1,['巅峰榜·新歌']
BIGBANG (빅뱅),2,0,,6,"['巅峰榜·热歌', '巅峰榜·流行指数']"
BIBI (비비),1,0,,1,['巅峰榜·新歌']
BGM专区,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
BEYOND,2,0,,15,"['巅峰榜·热歌', '巅峰榜·流行指数']"
BEAST (비스트),1,0,,1,['巅峰榜·流行指数']
CHOS1N,1,0,,1,['巅峰榜·内地']
CALIS吴烜晖,3,0,,3,['巅峰榜·内地']
C.JERRY,1,0,,1,['巅峰榜·内地']
Burak Yeter/Danelle Sandoval,1,0,,1,['巅峰榜·流行指数']
Bruno Mars/Anderson .Paak/Silk Sonic,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
Britneylee小暖,1,0,,1,['巅峰榜·内地']
BrAnTB白景屹,2,0,,2,['巅峰榜·内地']
BossWang/乔纳森/TripleMAD/Magic Yuan 车龙源,1,0,,1,['巅峰榜·内地']
BossWang/Magic Yuan 车龙源/乔纳森/TripleMAD,1,0,,1,['巅峰榜·内地']
BorderWalker/鸡皮疙瘩,2,0,,2,['巅峰榜·内地']
Bomb比尔/火鸡,1,0,,1,['巅峰榜·新歌']
Bomb比尔,7,0,,6,"['巅峰榜·流行指数', '巅峰榜·新歌', '巅峰榜·内地']"
BoA/WENDY (웬디)/NINGNING,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
Bo Peep/CR_Twenty-six,1,0,,1,['巅峰榜·内地']
Bo Peep,5,0,,5,['巅峰榜·内地']
Billie Eilish,2,0,,2,"['巅峰榜·流行指数', '巅峰榜·新歌']"
Carly Rae Jepsen,1,0,,1,"['巅峰榜·热歌', '巅峰榜·流行指数']"
Capper/罗言RollFlash,1,0,,1,['巅峰榜·热歌']
Capper,2,0,,1,"['巅峰榜·流行指数', '巅峰榜·内地']"
Capone亚尔/文海地/Gz,1,0,,1,['巅峰榜·内地']
Calvin Harris/Rihanna,1,0,,1,['巅峰榜·流行指数']
Calvin Harris/Ellie Goulding,1,0,,1,['巅峰榜·流行指数']
CROXIN.7,1,0,,1,['巅峰榜·新歌']
CRAT西略/瑞达,1,0,,1,['巅峰榜·内地']
CR3.,3,0,,2,"['巅峰榜·流行指数', '巅峰榜·新歌']"
CORTIS,4,0,,1,['巅峰榜·新歌']
COLDKIDS,2,0,,2,['巅峰榜·内地']
CMJ,1,0,,1,"['巅峰榜·热歌', '巅峰榜·新歌']"
CL (李彩麟),1,0,,1,['巅峰榜·新歌']
CK梨/A7i/胡洺嘉/142,1,0,,1,['巅峰榜·内地']
CK梨,1,0,,1,['巅峰榜·内地']
CJ陈加霖,1,0,,1,['巅峰榜·内地']
Cindy大蟠桃子,1,0,,1,['巅峰榜·流行指数']
Chris James,1,0,,1,['巅峰榜·流行指数']
Chocolate Hu/Streammar,1,0,,1,['巅峰榜·内地']
ChoY,1,0,,1,['巅峰榜·内地']
Chinese Football,1,0,,1,['巅峰榜·内地']
Chill_JI,1,0,,1,['巅峰榜·内地']
ChiliChill乐团/三Z-STUDIO/HOYO-MiX,1,0,,1,['巅峰榜·内地']
Chenyu陈鱼！,1,0,,1,['巅峰榜·新歌']
Charlie Puth/Jung Kook/BTS (防弹少年团),1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
Charlie Puth/Dan + Shay,1,0,,1,['巅峰榜·新歌']
Charlie Puth,1,0,,1,['巅峰榜·新歌']
Charli xcx,1,0,,1,['巅峰榜·流行指数']
Chad Graham,1,0,,1,['巅峰榜·新歌']
Chace,1,0,,1,['巅峰榜·内地']
Cazerx/142/张昊晴,1,0,,1,['巅峰榜·新歌']
Cathy月月,1,0,,1,['巅峰榜·流行指数']
DAVIS T/杨皮鹏/金艺德,1,0,,1,['巅峰榜·内地']
DARK OPS（Lil Bai）,2,0,,2,['巅峰榜·内地']
DAISHI DANCE (ダイシ・ダンス)/Cécile Corbel,1,0,,2,"['巅峰榜·热歌', '巅峰榜·流行指数']"
DAGE&DAYE,1,0,,1,['巅峰榜·内地']
D.N.A/张艺兴,1,0,,1,['巅峰榜·流行指数']
D-Dawn(丁天亮),1,0,,1,['巅峰榜·内地']
Cécile Corbel,1,0,,2,['巅峰榜·流行指数']
CxM (SEVENTEEN)/Lay Bankz,1,0,,1,['巅峰榜·新歌']
CxM (SEVENTEEN),1,0,,1,['巅峰榜·新歌']
Crush_,1,0,,1,"['巅峰榜·流行指数', '巅峰榜·新歌']"
Cristian Marchi/Reverend Haus,1,0,,1,"['巅峰榜·热歌', '巅峰榜·流行指数']"
CrazyRabbit,1,0,,1,['巅峰榜·内地']
ConeG,1,0,,1,['巅峰榜·内地']
Code-A,1,0,,1,['巅峰榜·内地']
Cloud9,2,0,,2,['巅峰榜·内地']
CityNaiveteClub,1,0,,1,['巅峰榜·内地']
Destiny Rogers,1,0,,1,['巅峰榜·流行指数']
Dear Jane/八三夭乐团,1,0,,1,['巅峰榜·内地']
Dear Jane,1,0,,1,['巅峰榜·内地']
Dayfly,1,0,,1,['巅峰榜·内地']
Daniel Powter,1,0,,3,"['巅峰榜·热歌', '巅峰榜·流行指数']"
