歌曲名,歌手,榜单,总播放量,平均热度,上榜次数,最佳排名,榜单排名
All In Your Mind,林俊杰,['巅峰榜·新歌'],0,,1,0,69
All I Got,伯贤 (백현),"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,70
All Eyes On Me,JISOO (지수),"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,71
All About Me,CK梨/A7i/胡洺嘉/142,['巅峰榜·内地'],0,,1,0,72
Alcohol-Free,TWICE (트와이스),['巅峰榜·新歌'],0,,1,0,73
Airplane,Feiii,['巅峰榜·内地'],0,,1,0,74
"Baby, Don't Cry (인어의 눈물) (Korean Ver.)",EXO (엑소),['巅峰榜·流行指数'],0,,1,0,75
"Baby, Don't Cry (人鱼的眼泪) (Chinese Ver.)",EXO (엑소),"['巅峰榜·热歌', '巅峰榜·流行指数']",0,,5,0,76
Baby I Know,刘雨昕,['巅峰榜·新歌'],0,,1,0,77
Baby I Got You,Cloud9,['巅峰榜·内地'],0,,1,0,78
Baby I Don't Care,CK梨,['巅峰榜·内地'],0,,1,0,79
BREATHE,张艺兴,['巅峰榜·新歌'],0,,1,0,80
BRAIN BOMB,春和竹,['巅峰榜·内地'],0,,1,0,81
BINGBIAN病变 (回忆版),苏星婕/阿辰（阎辰）,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,82
BATTER UP (7 ver.),BABYMONSTER (베이비몬스터),"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,83
BAHAMA,aespa (에스파),['巅峰榜·流行指数'],0,,1,0,84
B.O.M.B,TREASURE (트레저),['巅峰榜·流行指数'],0,,1,0,85
Astronaut In The Ocean (feat. Egor Kreed) (Egor Kreed Remix),Masked Wolf/Егор Крид,['巅峰榜·流行指数'],0,,1,0,86
Artificial Love (浪漫守则),陈以诺Sarah/R.Fia任菲菲,['巅峰榜·内地'],0,,1,0,87
Apt,Nikol,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,88
Aphrodite,椅子乐团 The Chairs,['巅峰榜·内地'],0,,1,0,89
Anna,Levinti,['巅峰榜·内地'],0,,1,0,90
Bite Me (Acoustic),Avril Lavigne,['巅峰榜·新歌'],0,,1,0,91
Billyeoon Goyangi (Do the Dance),ILLIT (아일릿),['巅峰榜·新歌'],0,,1,0,92
Billions,Kenxo,['巅峰榜·内地'],0,,1,0,93
Bet On Me,Walk off the Earth/D Smoke,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,94
Believer (纯享版),代少冬/韩佩泉Amir/NexT1DE-胡烨韬/周柯宇,['巅峰榜·新歌'],0,,1,0,95
Before,NIKI,['巅峰榜·内地'],0,,1,0,96
Beautiful Mistakes,Maroon 5/Megan Thee Stallion,['巅峰榜·新歌'],0,,1,0,97
Beautiful Girl,cash-c,['巅峰榜·内地'],0,,1,0,98
Beautiful Day,JA符龙飞,['巅峰榜·内地'],0,,1,0,99
Beautiful Christmas,Red Velvet (레드벨벳)/aespa (에스파),['巅峰榜·新歌'],0,,1,0,100
Be Your Cat,夏神铁粉,['巅峰榜·内地'],0,,1,0,101
Bambi,伯贤 (백현),"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,102
Bad Habits,Ed Sheeran,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,103
Back to Life,王源,['巅峰榜·新歌'],0,,1,0,104
Back To Funky Town,祁紫檀,['巅峰榜·内地'],0,,1,0,105
Back In Da Day,BossWang/乔纳森/TripleMAD/Magic Yuan 车龙源,['巅峰榜·内地'],0,,1,0,106
By My Side,JigglePuff/林雨晴/陈睿凡/Terry_Tang,['巅峰榜·内地'],0,,1,0,107
Butterfly,A1 TRIP/Nick.Y,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,108
Bushido (Maka Maka),VZEUS,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,109
Bungee,NCT DREAM (엔시티 드림),['巅峰榜·新歌'],0,,1,0,110
Brace Yourself For The Bass,Alex Darling,['巅峰榜·内地'],0,,1,0,111
Bored (Explicit),Torine,['巅峰榜·流行指数'],0,,1,0,112
Boom Boom Bass,RIIZE (라이즈),['巅峰榜·新歌'],0,,1,0,113
Blueming,IU (아이유),['巅峰榜·流行指数'],0,,1,0,114
Blue,刘耀文,['巅峰榜·新歌'],0,,1,0,115
Blow,王嘉尔,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,116
Blind Fire,太白Great White Planet,['巅峰榜·内地'],0,,1,0,117
Bli Funky,浪之乐队,['巅峰榜·内地'],0,,1,0,118
Blessed Mother,血肉果汁机,['巅峰榜·内地'],0,,1,0,119
Bleeding Love (七元版),七元,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,120
Blah Blah Blah,ITZY (있지),['巅峰榜·新歌'],0,,1,0,121
BiuBiu,刘雨昕,['巅峰榜·新歌'],0,,1,0,122
Celine Run,愚月FoolMoon,['巅峰榜·内地'],0,,1,0,123
